Date,AAPL,AMZN,GOOG,MSFT
2022-10-05,143.8507537841797,120.94999694824219,101.38761901855469,242.1443634033203
2022-10-06,142.89764404296875,120.30000305175781,101.40745544433594,239.80258178710938
2022-10-07,137.65060424804688,114.55999755859375,98.75919342041016,227.60794067382812
2022-10-10,137.974853515625,113.66999816894531,97.90619659423828,222.75918579101562
2022-10-11,136.5599365234375,112.20999908447266,97.25157928466797,219.0279541015625
2022-10-12,135.9311065673828,112.9000015258789,97.4995346069336,219.35833740234375
2022-10-13,140.5001220703125,112.52999877929688,98.8980484008789,227.60794067382812
2022-10-14,135.97039794921875,106.9000015258789,96.3886489868164,222.08871459960938
2022-10-17,139.9302520751953,113.79000091552734,99.95933532714844,230.80477905273438
2022-10-18,141.24691772460938,116.36000061035156,100.56437683105469,231.74732971191406
2022-10-19,141.35498046875,115.06999969482422,99.47332000732422,229.78453063964844
2022-10-20,140.89315795898438,115.25,99.71137237548828,229.4638214111328
2022-10-21,144.70558166503906,119.31999969482422,100.65364074707031,235.2648468017578
2022-10-24,146.84764099121094,119.81999969482422,102.13150787353516,240.2495574951172
2022-10-25,149.68728637695312,120.5999984741211,104.07554626464844,243.5630340576172
2022-10-26,146.74935913085938,115.66000366210938,94.0478744506836,224.77066040039062
2022-10-27,142.27862548828125,110.95999908447266,91.84593963623047,220.32998657226562
2022-10-28,153.02809143066406,103.41000366210938,95.79354858398438,229.19180297851562
2022-10-31,150.66989135742188,102.44000244140625,93.8891830444336,225.55767822265625
2022-11-01,148.02674865722656,96.79000091552734,89.76305389404297,221.7097930908203
2022-11-02,142.5045928955078,92.12000274658203,86.3609848022461,213.86831665039062
2022-11-03,136.46170043945312,89.30000305175781,82.81012725830078,208.18389892578125
2022-11-04,136.19595336914062,90.9800033569336,85.99398803710938,215.12176513671875
2022-11-07,136.7274169921875,90.52999877929688,87.9281234741211,221.41827392578125
2022-11-08,137.29827880859375,89.9800033569336,88.18600463867188,222.38995361328125
2022-11-09,132.74136352539062,86.13999938964844,86.68829345703125,218.15341186523438
2022-11-10,144.5519561767578,96.62999725341797,93.40315246582031,236.1004638671875
2022-11-11,147.3372802734375,100.79000091552734,95.94231414794922,240.11354064941406
2022-11-14,145.939697265625,98.48999786376953,95.24801635742188,234.71095275878906
2022-11-15,147.67193603515625,98.94000244140625,97.91612243652344,235.1190948486328
2022-11-16,146.44166564941406,97.12000274658203,98.18392181396484,235.54779052734375
2022-11-17,148.34120178222656,94.8499984741211,97.69791412353516,235.49908447265625
2022-11-18,148.90220642089844,94.13999938964844,97.00361633300781,235.05087280273438
2022-11-21,145.67396545410156,92.45999908447266,95.04964447021484,235.85964965820312
2022-11-22,147.8096923828125,93.19999694824219,96.53742980957031,238.76341247558594
2022-11-23,148.68568420410156,94.12999725341797,98.0152816772461,241.2482147216797
2022-11-25,145.77239990234375,93.41000366210938,96.80522918701172,241.16050720214844
2022-11-28,141.9438018798828,93.94999694824219,95.46623992919922,235.57705688476562
2022-11-29,138.9419403076172,92.41999816894531,94.66282653808594,234.1836395263672
2022-11-30,145.69363403320312,96.54000091552734,100.62388610839844,248.61485290527344
2022-12-01,145.96922302246094,95.5,100.45525360107422,248.17636108398438
2022-12-02,145.4770965576172,94.12999725341797,100.0089340209961,248.4979248046875
2022-12-05,144.3157196044922,91.01000213623047,99.05675506591797,243.8012237548828
2022-12-06,140.65447998046875,88.25,96.51758575439453,238.85110473632812
2022-12-07,138.71554565429688,88.45999908447266,94.37519073486328,238.12030029296875
2022-12-08,140.39852905273438,90.3499984741211,93.18494415283203,241.07278442382812
2022-12-09,139.9163055419922,89.08999633789062,92.31212615966797,239.14344787597656
2022-12-12,142.2095184326172,90.55000305175781,92.79812622070312,246.05210876464844
2022-12-13,143.17405700683594,92.48999786376953,95.0694808959961,250.34933471679688
2022-12-14,140.94972229003906,91.58000183105469,94.53388214111328,250.6416778564453
2022-12-15,134.3456268310547,88.44999694824219,90.45733642578125,242.64161682128906
2022-12-16,132.38702392578125,87.86000061035156,90.12013244628906,238.43209838867188
2022-12-19,130.2808074951172,84.91999816894531,88.42403411865234,234.30052185058594
2022-12-20,130.21192932128906,85.19000244140625,88.90013122558594,235.61602783203125
2022-12-21,133.31219482421875,86.7699966430664,89.51509094238281,238.17874145507812
2022-12-22,130.1430206298828,83.79000091552734,87.54129028320312,232.09832763671875
2022-12-23,129.77883911132812,85.25,89.07865142822266,232.62449645996094
2022-12-27,127.97772979736328,83.04000091552734,87.21397399902344,230.8997802734375
2022-12-28,124.05072021484375,81.81999969482422,85.75594329833984,228.5319366455078
2022-12-29,127.56436157226562,84.18000030517578,88.22566986083984,234.84622192382812
2022-12-30,127.87930297851562,84.0,88.00746154785156,233.68666076660156
2023-01-03,123.09601593017578,85.81999969482422,88.96956634521484,233.4528350830078
2023-01-04,124.36565399169922,85.13999938964844,87.98763275146484,223.24082946777344
2023-01-05,123.04681396484375,83.12000274658203,86.06342315673828,216.6244659423828
2023-01-06,127.57421112060547,86.08000183105469,87.44210052490234,219.1774444580078
2023-01-09,128.0958251953125,87.36000061035156,88.07688903808594,221.3114471435547
2023-01-10,128.66668701171875,89.87000274658203,88.51331329345703,222.9972381591797
2023-01-11,131.38314819335938,95.08999633789062,91.50872802734375,229.74026489257812
2023-01-12,131.3043975830078,95.2699966430664,91.16157531738281,232.41017150878906
2023-01-13,132.633056640625,98.12000274658203,92.04432678222656,233.11175537109375
2023-01-17,133.79446411132812,96.05000305175781,91.4095458984375,234.20309448242188
2023-01-18,133.0760040283203,95.45999908447266,91.03262329101562,229.77920532226562
2023-01-19,133.13502502441406,93.68000030517578,93.1452865600586,225.99844360351562
2023-01-20,135.69398498535156,97.25,98.4715576171875,234.07643127441406
2023-01-23,138.88287353515625,97.5199966430664,100.3858413696289,236.37603759765625
2023-01-24,140.2804412841797,96.31999969482422,98.40211486816406,235.84986877441406
2023-01-25,139.62103271484375,97.18000030517578,95.94231414794922,234.45645141601562
2023-01-26,141.68788146972656,99.22000122070312,98.3525390625,241.65744018554688
2023-01-27,143.6267852783203,102.23999786376953,99.8899154663086,241.81336975097656
2023-01-30,140.7430419921875,100.55000305175781,97.15237426757812,236.5027618408203
2023-01-31,142.01268005371094,103.12999725341797,99.05675506591797,241.47232055664062
2023-02-01,143.13467407226562,105.1500015258789,100.60405731201172,246.2859649658203
2023-02-02,148.4396209716797,112.91000366210938,107.91403198242188,257.83294677734375
2023-02-03,152.0615234375,103.38999938964844,104.36317443847656,251.74278259277344
2023-02-06,149.33526611328125,102.18000030517578,102.62743377685547,250.20314025878906
2023-02-07,152.2091522216797,102.11000061035156,107.16022491455078,260.71722412109375
2023-02-08,149.52224731445312,100.05000305175781,99.1856918334961,259.908447265625
2023-02-09,148.4888153076172,98.23999786376953,94.68266296386719,256.8779602050781
2023-02-10,148.85354614257812,97.61000061035156,94.08755493164062,256.3712463378906
2023-02-13,151.6529998779297,99.54000091552734,94.2264175415039,264.38104248046875
2023-02-14,151.01226806640625,99.69999694824219,94.17680358886719,265.2093200683594
2023-02-15,153.11183166503906,101.16000366210938,96.3093032836914,263.0895690917969
2023-02-16,151.51498413085938,98.1500015258789,95.00004577636719,256.0853271484375
2023-02-17,150.37155151367188,97.19999694824219,93.81974792480469,252.08999633789062
2023-02-21,146.35968017578125,94.58000183105469,91.30043029785156,246.82469177246094
2023-02-22,146.78355407714844,95.79000091552734,91.0524673461914,245.69151306152344
2023-02-23,147.2665252685547,95.81999969482422,90.32840728759766,248.87611389160156
2023-02-24,144.6149139404297,93.5,88.6224136352539,243.45449829101562
2023-02-27,145.80767822265625,93.76000213623047,89.36630249023438,244.37278747558594
2023-02-28,145.30496215820312,94.2300033569336,89.56468200683594,243.64990234375
2023-03-01,143.2349090576172,92.16999816894531,89.77297973632812,240.57276916503906
